Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Namibia,NAM,"Population, total",SP.POP.TOTL,634142,649279,665115,681637,698796,716584,734867,753688,773422,794588,817469,842354,868958,896266,922903,947921,971121,992956,1014057,1035381,1057727,1080941,1105104,1131632,1162279,1198148,1239928,1286797,1336536,1386010,1432905,1476388,1516958,1555101,1591822,1627865,1663378,1698032,1731639,1763859,1794571,1823672,1851523,1879117,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255
Nauru,NRU,Net migration,SM.POP.NETM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nauru,NRU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29685560.4744959,39903119.8176999,43358609.6344112,49234059.7187225,54986824.2938019,60533098.6670049,81244487.7891646,110918304.204691,114033102.291305,125892549.4904,131122988.491324,126562188.891626
Nauru,NRU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5731.46028025335,..,..,..,..,..,..,..,..
Nauru,NRU,"Population, total",SP.POP.TOTL,4375,4632,4944,5275,5592,5856,6067,6223,6337,6441,6552,6678,6803,6928,7058,7175,7286,7399,7503,7616,7741,7875,8018,8171,8328,8501,8683,8865,9062,9278,9505,9764,10030,10287,10498,10628,10672,10647,10565,10449,10337,10215,10102,9994,9902,9849,9828,9842,9891,9939,10005,10057,10279,10821,11853,12475,13049,12876,12704
Nepal,NPL,Net migration,SM.POP.NETM,..,..,-70000,..,..,..,..,-21075,..,..,..,..,-5799,..,..,..,..,-41002,..,..,..,..,-101147,..,..,..,..,-216407,..,..,..,..,76064,..,..,..,..,-464703,..,..,..,..,-772525,..,..,..,..,-971580,..,..,..,..,-2040239,..,..,..,..,208549,..
Nepal,NPL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2687564644.52438,2738850526.03803,2791171336.32931,2844067149.31039,3058295044.15399,3021497974.07339,3234230863.99325,3183405006.88147,3204908381.29249,3347956954.26606,3434200061.79961,3393148207.76815,3498939794.92215,3482266077.79119,3702818546.87338,3756749014.38762,3921990978.97092,4040316405.15103,4218322297.28413,4318249197.47917,4218091975.91136,4569964117.509,4742680183.0763,4601471345.50053,5046945769.07202,5357075804.00319,5601661164.65663,5696643954.4877,6135103742.63928,6400732135.07479,6697408396.01345,7123909435.79394,7416446123.91876,7701968176.62366,8334762090.68654,8623849303.39981,9083352501.06642,9541935774.11546,9829757721.15506,10263502982.96,10899840166.6306,11423020739.0207,11436744718.846,11887928617.3548,12444593148.5962,12877563074.7127,13310843466.2677,13764950914.3225,14605251495.759,15267319043.3731,16002656434.4746,16550239851.6396,17341538638.0319,18057549555.5864,19139013428.6013,19774984746.8631,19891395830.2133,21463958187.2336,22813990110.2118
Nepal,NPL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,470.939397974194,461.895364440778,473.299926687513,488.015072546981,501.529633755008,514.365392035952,526.861022250182,552.81124320879,574.426972501931,596.929131098091,615.406200661471,647.721303902698,676.023296214665,723.419265383718,744.173458390359,741.301531279584,786.90211291894,819.455395809145
Nepal,NPL,"Population, total",SP.POP.TOTL,10105050,10267264,10433145,10604621,10783967,10972912,11172529,11382967,11603928,11834654,12074626,12323982,12583140,12852206,13131260,13420369,13719471,14028536,14347641,14676929,15016402,15367230,15729431,16100617,16477473,16858310,17239673,17623693,18020753,18445028,18905478,19405504,19938320,20489975,21040904,21576071,22090352,22584775,23057883,23509964,23941110,24347106,24725627,25080872,25419344,25744500,26066693,26382581,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871
Netherlands,NLD,Net migration,SM.POP.NETM,..,..,11589,..,..,..,..,54636,..,..,..,..,186745,..,..,..,..,145804,..,..,..,..,71525,..,..,..,..,139748,..,..,..,..,186409,..,..,..,..,178553,..,..,..,..,146020,..,..,..,..,65713,..,..,..,..,62687,..,..,..,..,80000,..
